number,count,rate
15,141,0.22705314009661837
13,136,0.21900161030595813
9,135,0.21739130434782608
30,130,0.20933977455716588
4,127,0.20450885668276972
11,124,0.1996779388083736
32,124,0.1996779388083736
34,124,0.1996779388083736
17,124,0.1996779388083736
31,123,0.19806763285024154
8,123,0.19806763285024154
36,123,0.19806763285024154
26,123,0.19806763285024154
22,122,0.1964573268921095
29,121,0.19484702093397746
35,121,0.19484702093397746
21,120,0.1932367149758454
14,120,0.1932367149758454
18,120,0.1932367149758454
27,118,0.19001610305958133
7,118,0.19001610305958133
23,116,0.18679549114331723
28,116,0.18679549114331723
10,115,0.18518518518518517
6,115,0.18518518518518517
1,112,0.18035426731078905
19,112,0.18035426731078905
3,111,0.178743961352657
24,109,0.17552334943639292
20,107,0.1723027375201288
16,105,0.16908212560386474
25,104,0.16747181964573268
5,104,0.16747181964573268
33,103,0.16586151368760063
37,103,0.16586151368760063
2,101,0.16264090177133655
12,97,0.15619967793880837
